"Date","TimePoint","Genotype","Colony","Fragment","YII","Sample"
"2023-04-27","T0","A","Eevee","A_5",0.664,"T0_A_5"
"2023-04-27","T0","A","Eevee","A_19",0.646,"T0_A_19"
"2023-04-27","T0","A","Eevee","A_74",0.69,"T0_A_74"
"2023-04-27","T0","A","Eevee","A_79",0.673,"T0_A_79"
"2023-04-27","T0","A","Eevee","A_80",0.651,"T0_A_80"
"2023-04-27","T0","A","Eevee","A_82",0.685,"T0_A_82"
"2023-04-27","T0","A","Eevee","A_83",0.661,"T0_A_83"
"2023-04-27","T0","A","Eevee","A_96",0.636,"T0_A_96"
"2023-04-27","T0","A","Eevee","A_105",0.661,"T0_A_105"
"2023-04-27","T0","A","Eevee","A_107",0.667,"T0_A_107"
"2023-04-27","T0","A","Eevee","A_109",0.682,"T0_A_109"
"2023-04-27","T0","A","Eevee","A_110",0.639,"T0_A_110"
"2023-04-27","T0","A","Eevee","A_111",0.659,"T0_A_111"
"2023-04-27","T0","A","Eevee","A_121",0.639,"T0_A_121"
"2023-04-27","T0","A","Eevee","A_201",0.672,"T0_A_201"
"2023-04-27","T0","A","Eevee","A_202",0.665,"T0_A_202"
"2023-04-27","T0","A","Eevee","A_205",0.662,"T0_A_205"
"2023-04-27","T0","A","Eevee","A_209",0.686,"T0_A_209"
"2023-04-27","T0","A","Eevee","A_214",0.661,"T0_A_214"
"2023-04-27","T0","A","Eevee","A_287",0.654,"T0_A_287"
"2023-04-27","T0","A","Eevee","A_305",0.664,"T0_A_305"
"2023-04-27","T0","A","Eevee","A_310",0.667,"T0_A_310"
"2023-04-27","T0","A","Eevee","A_321",0.659,"T0_A_321"
"2023-04-27","T0","A","Eevee","A_324",0.586,"T0_A_324"
"2023-04-27","T0","A","Eevee","A_740",0.585,"T0_A_740"
"2023-04-27","T0","A","Eevee","A_741",0.617,"T0_A_741"
"2023-04-27","T0","A","Eevee","A_742",0.666,"T0_A_742"
"2023-04-27","T0","A","Eevee","A_743",0.656,"T0_A_743"
"2023-04-27","T0","C","Clefairy","C_511",0.532,"T0_C_511"
"2023-04-27","T0","C","Clefairy","C_512",0.534,"T0_C_512"
"2023-04-27","T0","C","Clefairy","C_513",0.529,"T0_C_513"
"2023-04-27","T0","C","Clefairy","C_514",0.535,"T0_C_514"
"2023-04-27","T0","C","Clefairy","C_515",0.543,"T0_C_515"
"2023-04-27","T0","C","Clefairy","C_516",0.545,"T0_C_516"
"2023-04-27","T0","C","Clefairy","C_517",0.55,"T0_C_517"
"2023-04-27","T0","C","Clefairy","C_518",0.546,"T0_C_518"
