Tank,Beaker ,Fragment,Genotype,Colony,Tag,Nutrients,Temp,Disease,Treatment,Origin,Tissue loss date
1,1,A_740,A,Eevee,740,LN,28,Placebo,LN_28_Placebo,Star Island seawall collapse (June 2022),
1,2,C_534,C,Clefairy,534,LN,28,Placebo,LN_28_Placebo,Star Island seawall collapse (June 2022),
1,3,D_535,D,Ditto,535,LN,28,Placebo,LN_28_Placebo,Star Island seawall collapse (June 2022),
1,5,A_19,A,Eevee,19,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
1,6,C_513,C,Clefairy,513,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
1,7,D_536,D,Ditto,536,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
1,9,A_74,A,Eevee,74,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,10,C_514,C,Clefairy,514,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,11,D_537,D,Ditto,537,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,13,A_79,A,Eevee,79,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,14,C_515,C,Clefairy,515,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,15,D_538,D,Ditto,538,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
2,17,A_80,A,Eevee,80,HN,31,Placebo,HN_31_Placebo,Star Island seawall collapse (June 2022),
2,18,D_871,D,Ditto,871,HN,31,Placebo,HN_31_Placebo,Star Island seawall collapse (June 2022),
2,19,D_539,D,Ditto,539,HN,31,Placebo,HN_31_Placebo,Star Island seawall collapse (June 2022),
2,21,A_82,A,Eevee,82,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
2,22,C_517,C,Clefairy,517,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
2,23,D_540,D,Ditto,540,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
2,25,A_83,A,Eevee,83,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,26,C_518,C,Clefairy,518,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,27,D_541,D,Ditto,541,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,29,A_96,A,Eevee,96,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,30,C_519,C,Clefairy,519,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
